id,traditional,simplified,pinyin,meaning,LEVEL
52,次,次,cì,"order, sequence, next",1
53,穿,穿,chuān,"to wear, to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread",1
54,錯,错,cuò,"wrong, mistaken, bad, poor, confused, complex",1
55,從,从,cóng,"from, since, through",1
56,打,打,dǎ,"generalized verb of doing with specific meaning determined by its object, strike, hit, fight, construct, forge, mix",1
57,打車,打车,dǎchē,"to take a taxi (in town), to hitch a lift",1
58,打電話,打电话,dǎ diànhuà,make telephone call,1
59,打開,打开,dǎ kāi,"unscrew, undo, break_out, open up, unbar, unpack, unwind, shoot, turn, switch_on, open, switch on, unroll, turn/switch on, unclose, straighten, unfold, crack, unwrap, ope, turn_on, turn on, chop",1
60,打球,打球,dǎqiú,play a ball game using arms/hands,1
61,大學,大学,dàxué,"university, college",1
62,大,大,dà,"great, macro, old, very, vast, tall, big, high, much",1
63,大學生,大学生,dàxuéshēng,"man, university/college student, college man, university student, colleger, university, undergrad, undergraduate, college boy, college student, collegian, university_student, undergraduate student, geeks",1
64,得到,得到,dé dào,"to get, to obtain, to receive",1
65,到,到,dào,up until,1
67,地點,地点,dìdiǎn,"location, site, locale, locality, topographic point, point, venue, spot, situs, land site, place, locus",1
68,地,地,de,"the earth, land, soil, fields, ground, place, position, background, distance",1
69,地方,地方,dìfang,"country, soil, terrain, part, clime, way, territory, room, neighbourhood, tinderbox, locality (as distinct from the central administrat, child, tract, province, position, respect, where, region, space, place, local",1
70,地上,地上,dìshang,"on the ground, on the floor",1
71,的,的,de,particle: emphasizing an action/situation,1
72,地圖,地图,dìtú,map,1
73,弟弟,弟弟,dìdi,"brother, little brother, younger brother, cadet, little_brother, viscount",1
74,第,第,dì,"mansion, stadium, decker, det.: marker of ordinal numerals, abomasum, residence",1
75,點,点,diǎn,m.[proximation],1
76,電話,电话,diànhuà,"blower, phone call, headphone, earpiece, telephone, telephone_call, buzz, earphone, horn, telephone set, phone_call, telephony, phone",1
77,電,电,diàn,electricity,1
78,電腦,电脑,diànnǎo,"electronic computer, computery, data processor, information processing system, computer",1
79,電視機,电视机,diànshìjī,"set, idiot_box, tv, goggle-box, idiot box, television receiver/set, teleset, television set, television receiver, TV set, goggle_box, tv set, goggle box, boob tube, receiver, telly, television",1
80,電影,电影,diànyǐng,"cinematography, moving_picture, pix, kinema, picture, film, movie, moving picture, flick, cinema, motion_picture, cinematic, celluloid, picture show, motion picture, flicker",1
81,電視,电视,diànshì,"TV, box, iconoscope, video, television set, teevee, orthicon, huckster, TV set, radiovision, television, telecasting, airwave, telly",1
82,電影院,电影院,diànyǐng yuàn,"cinema, movie (house)",1
83,東邊,东边,dōngbiān,"east, east side, eastern part, to the east of",1
84,東,东,dōng,east,1
85,東西,东西,dōngxi,"thing, creature",1
86,動,动,dòng,"concuss, get moving, travel, go, use, eat or drink, act, arouse, stir, disturb, alter, touch, change, dynamic, locomote, move",1
87,動作,动作,dòngzuò,"demeanor, motion, behavior, performance, demeanour, play, turn, operation, operative, looseness, agency, gesticulation, movement, gesture, comportment, business, action, move",1
88,讀,读,dú,"study, read, attend school, take, read aloud, read (aloud), peruse",1
89,都,都,dōu,"all, even, already",1
90,讀書,读书,dú shū,"read, study, attend school",1
91,對不起,对不起,duìbuqǐ,"be unfair to, I'm sorry, let ... down, let sb. down, excuse me",1
93,多少,多少,duōshao,"det.: how many, how much, many",1
94,兒子,儿子,érzi,"viscount, man-child, boy, male offspring, son",1
95,餓,饿,è,starve,1
97,二,二,èr,"det.: two, second",1
98,飯,饭,fàn,"food, meal, repast, cooked rice or other cereals, dinner",1
99,飯店,饭店,fàndiàn,"restraurant, restaurant, hotel",1
100,房間,房间,fángjiān,"apartment, aspect, houseroom, room, chamber, bedroom",1
101,房子,房子,fángzi,"building (of less than three stories), room, building, property, house",1
102,放,放,fàng,"loose, bloom, make longer, set ... free, let sb. have his own way, show, readjust, free, make larger, put in, fly, etc., release, discharge, leave alone, bung, lay aside, put, expansion, make longer/larger/etc., fling, localize, lend (money) at interest, let go, set, pasture, pose, set free, blossom, lay, let off, put out to pasture, send away, play, expand, make larger/etc., readjus",1
103,放假,放假,fàng jià,"have a day off, have a vacation, have day off, have or be on vacation, have or be on holiday, have a holiday, vacation",1
104,飛,飞,fēi,"hover in the air, flight, hover, volatilize, wing, disappear through volatilization, flutter, skip, hover/flutter in the air, fly, blow, flutter in the air, flit",1
105,放學,放学,fàng xué,"have winter holidays, classes are over, finish classes, have summer holidays, finish classes (for the day)",1
106,飛機,飞机,fēijī,"aerocraft, airplane, machine, craft, aeroplane, ship, aero, avion, aeronef, plane, aircraft",1
107,非常,非常,fēicháng,"extraordinary, unusual, special, very, extremely, highly",1
109,風,风,fēng,"wind, common practice, custom, general mood, style, news, information",1
110,幹,干,gàn,"do, work, fight",1
111,乾淨,干净,gānjìng,"clean, clear",1
112,高興,高兴,gāoxìng,"glad, happy, cheerful, merry, pleased",1
113,高,高,gāo,"tall, high",1
114,告訴,告诉,gàosu,"tell, preach, notify, impart, inform, represent, apprize, send word, share, advise, give notice, apprise, assure, let know",1
115,哥哥,哥哥,gēge,"big brother, elder brother, big_brother",1
116,歌,歌,gē,song,1
117,幹什麼,干什么,gànshénme,do something,1
118,個,个,gè,"piece, item",1
119,給,给,gěi,"give, give to",1
120,跟,跟,gēn,"with, to, from",1
121,工人,工人,gōngren,"navvy, hired man, operative, working person, laborer, shopworker, esne, working man, hired hand, worker, workpeople, workman, hand",1
122,工作,工作,gōngzuò,"work, job",1
123,關,关,guān,"shut, close, turn off, lock up, close down",1
124,關上,关上,guānshàng,"to close (a door), to turn off (light, electrical equipment etc)",1
125,國,国,guó,"surname Guo, country, nation, state, national, CL:個|个[ge4]",1
126,國家,国家,guójiā,"sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica",1
127,貴,贵,guì,"expensive, costly, highly valued",1
128,國外,国外,guówài,overseas,1
129,還是,还是,háishi,"still, nevertheless",1
130,孩子,孩子,háizi,"kid, issue, chap, daughter, children, sonny, son or daughter, child, spawn, boy, kipper, son",1
131,還有,还有,háiyǒu,"conj.: furthermore, in addition",1
133,漢語,汉语,Hànyǔ,"Chinese language, CL:門|门[men2]",1
134,還,还,hái,"still, yet, also, too, as well, besides",1
135,漢字,汉字,Hànzì,"Chinese character, CL:個|个[ge4], Japanese: kanji, Korean: hanja, Vietnamese: hán tự",1
137,好吃,好吃,hǎochī,"delicious, good to eat, tasty, enjoy eating good food, gluttonous",1
138,好看,好看,hǎokàn,"embarrassed, interesting, nice, good-looking, delightful",1
139,好聽,好听,hǎotīng,pleasant to hear,1
140,好玩兒,好玩儿,hǎowánr,"interesting, delightful, amusing",1
141,號,号,hào,m.[general],1
142,喝,喝,hē,drink,1
143,和,和,hé,"and, with, gentle, peaceful",1
144,很,很,hěn,"pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly",1
145,後,后,hòu,"rear, back, behind",1
146,後邊,后边,hòubian,"back, rear, behind",1
147,話,话,huà,"words, thing, language, tongue, talk, speech, spoken_language, conversation, utterance, expression, story, tale, saying, natural language, sayings, word",1
148,後天,后天,hòutiān,"the day after tomorrow, post-natal, acquired (not innate), a posteriori",1
149,壞,坏,huài,spoiled,1
150,回答,回答,huídá,"answer, reply",1
153,回到,回到,huídào,"remount, retour, recur, turn back, regress, regain, revert, go_back, return to, return, go back to",1
154,回家,回家,huí jiā,return home,1
155,回去,回去,huí  qu,"go_home, go_back, retrocede, go back, be back, go, return",1
156,回來,回来,huí lai,"come back, get_back, recur, revisit, come, return, be back, come_back",1
158,火車,火车,huǒchē,"choo-choo, railroad train, car train, marshalling_yard, puff-puff, train",1
159,機場,机场,jīchǎng,"landing field, flying field, airfield, airport, airdrome, field, aerodrome",1
160,雞蛋,鸡蛋,jīdàn,"(chicken) egg, hen's egg, CL:個|个[ge4],打[da2]",1
161,機票,机票,jīpiào,"air ticket, passenger ticket, CL:張|张[zhang1]",1
162,幾,几,jǐ,"det.: how many, a few, several, some",1
163,記得,记得,jì de,"come to mind, think back, remember, recollect, recall, rememberance, mind, retain, place, spring to mind, bear in mind",1
164,記住,记住,jì zhu,"to remember, to bear in mind, to learn by heart",1
166,記,记,jì,"write down, record",1
167,家裡,家里,jiālǐ,home,1
168,見面,见面,jiàn miàn,"meet, see",1
169,教,教,jiào,teach,1
170,家人,家人,jiārén,"relation, homefolk, inmate, kindred, household, relative, people, folks, kin, family members, family, kinsfolk, house",1
171,間,间,jiān,"locality, room",1
172,見,见,jiàn,"see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet",1
173,叫,叫,jiào,to be called,1
174,教學樓,教学楼,jiàoxuélóu,"teaching block, school building",1
175,介紹,介绍,jièshào,"introduce, present, recommend, suggest, let know, brief",1
176,今年,今年,jīnnián,this year,1
177,姐姐,姐姐,jiějie,"sis, big_sister, elder sister, sister",1
178,今天,今天,jīntiān,"today, at the present, now",1
179,進,进,jìn,"enter, come/go into, advance",1
180,進來,进来,jìn lai,"come in, enter",1
181,進去,进去,jìn qu,"enter, entry, go_in, get in, go in",1
182,就,就,jiù,"then, at once, right away, an indicator strengthening speaker's evaluation",1
183,覺得,觉得,juéde,"imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive",1
184,九,九,jiǔ,det.: nine,1
185,開,开,kāi,"open, open up, reclaim (land), open out, come loose, start, begin, operate, turn on (light), run (business), hold (meeting/etc.), divide into, reveal",1
186,開車,开车,kāi chē,to drive a car,1
187,開會,开会,kāi huì,hold/attend meeting,1
188,開玩笑,开玩笑,kāi wánxiào,"kid, spoof, jive, gag, make fun of, josh, daff, rot, quip, chaff, rib, banter, jolly, fun, sport, put_on, clown, fool, droll, jape, joke, skylark, jest, jocose, crack a joke",1
189,看,看,kàn,"see, look at, watch, read, look upon, regard, look after, call on, visit",1
190,看病,看病,kàn bìng,"to visit a doctor, to see a patient",1
191,看到,看到,kàn dào,"view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay_eyes_on, boast, brag, shoot the breeze, spy, catch sight of, catch sight of",1
192,考,考,kǎo,"study, inspect, give test, inspection, give, give/take test, test, investigate, verify, take test, give or take an examination, quiz, check",1
193,看見,看见,kàn jian,"seeing, behold, see, descry, show, perceive, lay eyes on, lamp, spy, show up, sight, catch sight of, catch sight of",1
194,考試,考试,kǎoshì,"examination, test",1
195,渴,渴,kě,thirsty,1
196,課,课,kè,"subject, course, class",1
197,課本,课本,kèběn,"text edition, textbook, text, school text, schoolbook",1
198,課文,课文,kèwén,"text, CL:篇[pian1]",1
199,口,口,kǒu,m.[general],1
200,塊,块,kuài,m.[general],1
201,快,快,kuài,"fast, quick, quick-witted, ingenious, sharp (of knives), straightforward",1
202,來,来,lái,to,1
203,來到,来到,láidào,"arrive, come",1
205,老人,老人,lǎoren,"oldster, ancient, old woman, crock, one's aged parents or grandparents, old man/woman, one's aged parents/grandparents, Sir, old person, gaffer, pop, one's aged parents, the aged/old, old_man, senior_citizen, oldie, greybeard, old man, graybeard, old, grandparents, the old, the aged, senior citizen, old_boy, old boy, woman, old-timer, old man or woman, one's aged grandparents",1
206,老師,老师,lǎoshī,"rabbi, professor, swami, instructor, teacher, mast",1
207,了,了,le,entirely,1
208,累,累,lèi,"tire, build by piling up, pile up, strain, weary, toil, accumulate, involve, tired, burthen, work hard, accumulation, fatigued, wear out",1
209,冷,冷,lěng,"cool, rare, cold, unfrequented, feel cold, chill, frosty(in manner), shot from hiding, strange",1
210,裏,里,lǐ,inside,1
211,裡邊,里边,lǐbian,inside,1
213,零,零,líng,"det.: zero, naught, nil",1
214,六,六,liù,det.: six,1
215,樓,楼,lóu,"storey, Lou, tower, superstructure, storied building, story, floor, Surname, a storied building",1
216,樓上,楼上,lóushàng,upstairs,1
217,樓下,楼下,lóuxià,downstairs,1
218,路口,路口,lùkǒu,"crossing, intersection (of roads)",1
219,路上,路上,lùshang,"on the road, on a journey, road surface",1
220,媽媽,妈妈,māma,"mummy, mammy, ma, mother, mamma, mum, mommy, female parent, mom, Mama, mater, mama, momma",1
221,馬路,马路,mǎlù,"drive, road, driveway, riding, a road, carriageway, avenue, street, a street used by vehicular traffic",1
222,路,路,lù,"road, path, way, journey, distance, means, sequence, logic, line, region, district, route, sort, grade, class",1
223,馬上,马上,mǎshàng,"in a short time, at_once, instantaneously, promptly, at once, incontinent, in the same breath, directively, instantly, slapbang, pronto, right_away, immediately, shortly, without delay, right away, tout-de-suite, forthwith, presently, in_no_time, at a time, soon, hereupon, in a few seconds, before long, at one time, outright, straightaway, in a minute, directly, momently, in a f",1
224,買,买,mǎi,"pick up, invest, hire, buy, purchase, put_down, trade, get",1
225,嗎,吗,ma,particle: calling for agreement or disagreement,1
226,慢,慢,màn,"tardy, rude, slow down, slow, slow up, retard, lose, defer, supercilious, postpone, decelerate",1
227,忙,忙,máng,"hurry, hasten",1
228,毛,毛,máo,"Mao, wool, bristle, nap, pilus, down, feather, mold, mildew, Surname, hair, 1 1 0 th yuan, 1 0 th yuan, dime, silk, cent, fur, marking",1
229,沒,没,méi,not,1
230,沒關係,没关系,méiguānxi,"it doesn't matter, never mind",1
231,沒什麼,没什么,méishénme,"nothing, it doesn't matter, it's nothing, never mind",1
232,沒有,没有,méiyou,"not have, there is not, be without",1
233,沒事兒,没事儿,méishìr,"to have spare time, free from work, it's not important, it's nothing, never mind",1
234,妹妹,妹妹,mèimei,"little_sister, sis, younger sister, little sister, sister",1
235,門,门,mén,"door, gate",1
236,門口,门口,ménkǒu,"porch, portal, doorway, gateway, threshold, room access, door, entering, entrance",1
237,門票,门票,ménpiào,"entrance/admission ticket, admission ticket, admission fee, admission price, entrance ticket, admission charge, cover_charge, admission, entrance fee, entrance money, pasteboard, price of admission, entrance",1
238,米飯,米饭,mǐfàn,(cooked) rice,1
239,們,们,men,pluralizer after pronouns and nouns of persons,1
240,麵包,面包,miànbāo,"bun, staff of life, cookie, breadstuff, bread",1
241,麵條兒,面条儿,miàntiáor,"noodles, erhua variant of 麵條|面条[mian4 tiao2]",1
242,名字,名字,míngzi,"first_name, forename, moniker, monaker, first name, monicker, cognomen, given name, name, patronymic, appellation",1
243,明白,明白,míngbai,"clarify, downright, recognize, agnize, tumble, follow, make out, catch, understand, discern, think, know, seize, agnise, twig, realize, get, realization",1
244,明年,明年,míngnián,next year,1
245,明天,明天,míngtiān,tomorrow,1
246,哪,哪,nǎ,det.: which,1
247,哪裡,哪里,nǎli,where,1
248,哪兒,哪儿,nǎr,where,1
249,哪些,哪些,nǎxiē,det.: which,1
250,拿,拿,ná,"take, hold, seize, capture",1
251,那邊,那边,nàbian,"beyond, that side, there",1
253,那裡,那里,nàlǐ,that place,1
254,那些,那些,nàxiē,det.: those,1
255,奶,奶,nǎi,"breasts, milk",1
256,那兒,那儿,nàr,that place,1
257,奶奶,奶奶,nǎinai,"nanna, address for married woman, granny, gran, grandmother, grandma, respectful form of address for an old woman, paternal grandmother",1
258,男孩兒,男孩儿,nánháir,"boy, erhua variant of 男孩[nan2 hai2]",1
259,男朋友,男朋友,nánpéngyou,boyfriend,1
260,男,男,nán,"baron, male, man, steady, mankind, male person, boy, chauvinism, creature, son",1
261,男生,男生,nánshēng,"brother, sonny boy, man, male, laddie, lad, boy student, male student, boy, schoolboy, sonny, cub, man student",1
262,南,南,nán,"Yugoslavia, South, Nan, south, Surname, S, due south, austral, southern",1
263,男人,男人,nánren,"male, man, chap, mankind, buck, bastard, gentleman, jack, gent, men, blighter, cuss, hombre, lad, adult male, groom, husband, bimbo, dog, fellow, mon, menfolk, fella",1
264,南邊,南边,nánbian,"south, south side, southern part, to the south of",1
265,呢,呢,ne,particle: marking quesitons about subject already mentioned; indicating strong affirmation,1
266,難,难,nán,"make difficulties, take to task, put ... into a difficult position, disagreeable, make difficult, unpleasant, hard, difficult, troublesome, blame",1
267,你,你,nǐ,you,1
268,能,能,néng,can or to be capable of,1
269,你們,你们,nǐmen,"you, you (plural), you-all",1
270,您,您,nín,you,1
271,牛奶,牛奶,niúnǎi,cow's milk,1
272,女,女,nǚ,"girl, female, woman, neodymium, hen, daughter, beaver, creature",1
273,年,年,nián,year,1
274,女孩兒,女孩儿,nǚháir,"girl, erhua variant of 女孩[nu:3 hai2]",1
275,女兒,女儿,nǚér,"daughter, girl",1
276,女生,女生,nǚshēng,"schoolgirl, girl student, female student, female, girl, woman student, co-ed",1
277,女朋友,女朋友,nǚpéngyou,"jane, girl, girl friend, lady friend, girlfriend, amie",1
278,旁邊,旁边,pángbiān,"by the side of, side, adjacency, near by",1
279,跑,跑,pǎo,"travel, race, be away, escape, course, run errands, skirr, double, walk, be away/off, run away, be off, run about doing sth., run, drive, paw the earth, run about doing ..., ride, leg",1
280,女人,女人,nǚren,"jade, crumpet, female, female person, Gill, bitch, chick, fair, squaw, womenfolk, adult female, doll, momma, wench, skirt, womankind, girl, jill, wife, broad, petticoat, sister, woman, bimbo, bird, jane, she, hen, hairpin, dame, women",1
281,朋友,朋友,péngyou,"amigo, connections, kith, friend, boy, crony, ami, boy/girl friend, companion, mate, boy friend or girl friend, compadre, boy friend, Mac, paisano, matey, old_boy, sport, folks, pard, hearty, Kamerad, cocker, cobber, girl friend, pardner, company",1
282,票,票,piào,"ticket, ballot, note",1
283,七,七,qī,det.: seven,1
284,起床,起床,qǐ chuáng,"uprise, get up from bed, arise, get out of bed, turn out, rise, deck, get_up, awake, get up",1
285,起來,起来,qǐ  lai,[aspect],1
286,起,起,qǐ,[aspect],1
287,汽車,汽车,qìchē,"automotive vehicle, machine, wheels, motorcar, motor vehicle, car, automotive, auto, wheel, autocar, motor, automobile, hoot, mobile, bus",1
288,前,前,qián,front,1
289,前邊,前边,qiánbian,"front, the front side, in front of",1
290,錢,钱,qián,"copper coin, cash, money, fund, sum",1
291,錢包,钱包,qiánbāo,"purse, wallet",1
292,請,请,qǐng,"request, ask (a favor), engage, hire (teacher/etc.), Please...",1
293,前天,前天,qiántiān,the day before yesterday,1
294,請假,请假,qǐng jià,"vacate, ask for leave",1
295,請問,请问,qǐngwèn,"Excuse me, may I ask...?",1
296,請進,请进,qǐngjìn,'please come in',1
297,請坐,请坐,qǐng zuò,Sitting,1
298,球,球,qiú,ball,1
299,去年,去年,qùnián,last year,1
300,熱,热,rè,hot,1
301,人,人,rén,"person, people",1
302,認識,认识,rènshi,"know, recognize",1
303,認真,认真,rènzhēn,"serious, earnest, take for real",1
304,去,去,qù,"to go, to leave, in order to",1
305,日,日,rì,m.[standard],1
306,日期,日期,rìqī,"calendar, when, date",1
307,肉,肉,ròu,"pulp, chilli, cabobs, meat, lobscouse, paella, meaty, fleshy, flesh, marmite",1
308,山,山,shān,"Shan, jebel, pike, mountain, whitethorn, hump, anything resembling a mountain, gable, kop, chimney, hill, Surname, mount",1
309,商場,商场,shāngchǎng,"department store, bazar, line of business, field of operation, grocery store, emporium, bazaar, grocery, mall, commercial circle, field, market",1
310,上,上,shàng,"on, above",1
311,三,三,sān,det.: three,1
312,商店,商店,shāngdiàn,"concern, hospital, business, store, shoppe, shop",1
313,上班,上班,shàng bān,"start work, go to work, be on duty",1
314,上車,上车,shàngchē,"to get on or into (a bus, train, car etc)",1
315,上課,上课,shàng kè,"attend class, go to class;give lesson/lecture",1
316,上網,上网,shàng wǎng,"to go online, to connect to the Internet, (of a document etc) to be uploaded to the Internet, (tennis, volleyball etc) to move in close to the net",1
317,上邊,上边,shàngbian,"the top, above, overhead, upwards, the top margin, above-mentioned, those higher up",1
318,上學,上学,shàng xué,"attend school, be at school",1
319,上午,上午,shàngwǔ,"morning, CL:個|个[ge4]",1
320,少,少,shǎo,"lack, be deficient, lose, be missing",1
321,上次,上次,shàngcì,last time,1
322,身上,身上,shēnshang,"on the body, at hand, among",1
323,誰,谁,shéi,"who, someone, anyone",1
324,身體,身体,shēntǐ,"soma, system, physical structure, body, health, carcase, corpus, frame, person, somatic, organic structure, personage",1
325,生病,生病,shēng bìng,"come down, ail, fall ill, traik, sick, sicken",1
326,生氣,生气,shēng qì,"get angry, be angry",1
327,十,十,shí,det.: ten,1
328,時候,时候,shíhou,"day, moment, (a point in) time, (duration of) time, time",1
329,時間,时间,shíjiān,"moment, day, clock time, fourth_dimension, relativity, hour, duration, time, when, while, temporal, economy",1
330,事,事,shì,"responsibility, trouble, event, thing, worry, accident, case, involvement, work, affair, job, concern, business, toast, matter",1
331,試,试,shì,"offer, attempt, essay, flesh, try, seek, assay, test",1
332,生日,生日,shēngri,birthday,1
333,是不是,是不是,shìbùshì,"is or isn't, yes or no, whether or not",1
334,是,是,shì,"is, are, am, yes, to be, variant of 是[shi4], (used in given names)",1
335,手機,手机,shǒujī,"cell phone, mobile phone, CL:部[bu4],支[zhi1]",1
336,手,手,shǒu,hand,1
337,書包,书包,shūbāo,"bag, book bag, satchel, schoolbag",1
338,書,书,shū,"volume, document, style of calligraphy, book, script, letter",1
339,書店,书店,shūdiàn,bookstore,1
340,樹,树,shù,"wood, Ruptiliocarpon caracolito, tree, arbor, Surname, caracolito",1
341,水,水,shuǐ,"water, H2O, liquid, bubble, a general term for rivers, lakes, seas, etc., Shiu, waters, aqueous, Aquarius, river, Surname, blister, drink, eau, aqua",1
342,水果,水果,shuǐguǒ,fruit,1
343,睡,睡,shuì,sleep,1
344,說,说,shuō,"speak, talk, explain, scold",1
345,說話,说话,shuō huà,"philosophize, thrum, talk, peach, babble out, speech, articulate, chat, speak, babble, gossip, blab out, sing, address, tattle, blab, mouth, say",1
346,睡覺,睡觉,shuì jiào,"turn_in, log Z's, doss, slumber, catch some Z's, go to bed, sleep, doss down, crash, go_to_sleep, hit_the_sack, kip",1
347,送,送,sòng,"accompaniment, escort, see sb. off, see sb. off/out, to dispatch, see ... off, accompany, to deliver, send, direct, serve, guide, give as a present, deliver, see sb. out, see, lead, see ... out, conduct, give, to send, carry, delivery, carriage, take, hospitalize",1
348,四,四,sì,det.: four,1
349,嵗,岁,suì,"year (for crops), m.[standard], , year of age, year (of age), year, annum, year for crops",1
350,他們,他们,tāmen,they,1
351,什麼,什么,shénme,"anything, what",1
352,她,她,tā,"she, her, she (neologism for {1ta1}[2]), )",1
353,她們,她们,tāmen,they (female),1
354,天,天,tiān,m.[standard],1
355,他,他,tā,"he, she, it, they (referring to inanimate things in object position)",1
356,太,太,tài,"excessively, too, extremely, very",1
357,天氣,天气,tiānqì,"sky, elements, weather condition, atmospheric condition, weather",1
358,聽到,听到,tīngdào,hear,1
359,聽見,听见,tīng jian,hear,1
360,聽寫,听写,tīngxiě,"dictate, dictation, CL:次[ci4]",1
361,聽,听,tīng,"hear, list, hearken, obey, obedience, listen, heed, administer, let, allow, hark",1
362,圖書館,图书馆,túshūguǎn,library,1
363,外,外,wài,"outside, in addition, foreign, external",1
364,外邊,外边,wàibian,"outside, outer surface, abroad, place other than one's home",1
365,同學,同学,tóngxué,"class fellow, fellow student, condisciple, classmate, schoolmate, schoolfellow, form of address used in speaking to a student",1
366,外國,外国,wàiguó,"foreign, foreign country, outland, outremer",1
367,玩兒,玩儿,wánr,"to play, to have fun, to hang out",1
368,晚,晚,wǎn,"far on in time, late",1
369,晚飯,晚饭,wǎnfàn,"evening meal, dinner, supper, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]",1
370,晚上,晚上,wǎnshang,"evening, night, CL:個|个[ge4], in the evening",1
371,網上,网上,wǎngshàng,online,1
372,網友,网友,wǎngyǒu,"online friend, Internet user",1
373,外語,外语,wàiyǔ,foreign language,1
374,忘記,忘记,wàngjì,"misremember, block, blank out, neglect, overlook, draw a blank, leave_out, disremember, fail, forget",1
375,忘,忘,wàng,"forget, overlook, neglect",1
376,問,问,wèn,"ask, examine, question, interrogate",1
377,我們,我们,wǒmen,we,1
378,我,我,wǒ,"I, me, ego, self",1
379,五,五,wǔ,det.: five,1
380,午飯,午饭,wǔfàn,"lunch, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]",1
381,西,西,xī,"W, Spain, west, occident, due west, western",1
382,西邊,西边,xībian,"west, west side, western part, to the west of",1
383,洗,洗,xǐ,"wash, bathe, sack, develop (film), shuffle (cards/etc.)",1
